ParkName,Region,Year,Month,RecreationVisits
Acadia,Northeast ,1991,3,31291
Acadia,Northeast ,1991,4,75738
Acadia,Northeast ,1991,5,157252
Acadia,Northeast ,1991,6,295348
Acadia,Northeast ,1991,7,574529
Acadia,Northeast ,1991,8,640990
Acadia,Northeast ,1991,9,377904
Acadia,Northeast ,1991,10,224497
Acadia,Northeast ,1991,11,45518
Acadia,Northeast ,1991,12,13535
Acadia,Northeast ,1992,1,17510
Acadia,Northeast ,1992,2,21110
Acadia,Northeast ,1992,3,30312
Acadia,Northeast ,1992,4,63276
Acadia,Northeast ,1992,5,164400
Acadia,Northeast ,1992,6,262173
Acadia,Northeast ,1992,7,539109
Acadia,Northeast ,1992,8,615843
Acadia,Northeast ,1992,9,391798
Acadia,Northeast ,1992,10,211573
Acadia,Northeast ,1992,11,46316
Acadia,Northeast ,1992,12,18693
Acadia,Northeast ,1993,1,19402
Acadia,Northeast ,1993,2,15556
Acadia,Northeast ,1993,3,29040
Acadia,Northeast ,1993,4,57707
Acadia,Northeast ,1993,5,192823
Acadia,Northeast ,1993,6,300647
Acadia,Northeast ,1993,7,586449
Acadia,Northeast ,1993,8,719671
Acadia,Northeast ,1993,9,417317
Acadia,Northeast ,1993,10,254615
Acadia,Northeast ,1993,11,43755
Acadia,Northeast ,1993,12,19052
Acadia,Northeast ,1994,1,13364
Acadia,Northeast ,1994,2,18112
Acadia,Northeast ,1994,3,29086
Acadia,Northeast ,1994,4,58788
Acadia,Northeast ,1994,5,182781
Acadia,Northeast ,1994,6,311803
Acadia,Northeast ,1994,7,617622
Acadia,Northeast ,1994,8,720079
Acadia,Northeast ,1994,9,421106
Acadia,Northeast ,1994,10,268779
Acadia,Northeast ,1994,11,48907
Acadia,Northeast ,1994,12,20322
Acadia,Northeast ,1995,1,14894
Acadia,Northeast ,1995,2,20510
Acadia,Northeast ,1995,3,32120
Acadia,Northeast ,1995,4,86198
Acadia,Northeast ,1995,5,175550
Acadia,Northeast ,1995,6,355270
Acadia,Northeast ,1995,7,626947
Acadia,Northeast ,1995,8,753799
Acadia,Northeast ,1995,9,439553
Acadia,Northeast ,1995,10,271606
Acadia,Northeast ,1995,11,54121
Acadia,Northeast ,1995,12,14810
Acadia,Northeast ,1996,1,17655
Acadia,Northeast ,1996,2,15576
Acadia,Northeast ,1996,3,32452
Acadia,Northeast ,1996,4,76597
Acadia,Northeast ,1996,5,166290
Acadia,Northeast ,1996,6,327723
Acadia,Northeast ,1996,7,571017
Acadia,Northeast ,1996,8,714090
Acadia,Northeast ,1996,9,426562
Acadia,Northeast ,1996,10,280577
Acadia,Northeast ,1996,11,56828
Acadia,Northeast ,1996,12,19464
Acadia,Northeast ,1997,1,16292
Acadia,Northeast ,1997,2,17230
Acadia,Northeast ,1997,3,27035
Acadia,Northeast ,1997,4,77005
Acadia,Northeast ,1997,5,132194
Acadia,Northeast ,1997,6,340064
Acadia,Northeast ,1997,7,622847
Acadia,Northeast ,1997,8,758140
Acadia,Northeast ,1997,9,404808
Acadia,Northeast ,1997,10,287171
Acadia,Northeast ,1997,11,57810
Acadia,Northeast ,1997,12,19710
Acadia,Northeast ,1998,1,16726
Acadia,Northeast ,1998,2,17028
Acadia,Northeast ,1998,3,27500
Acadia,Northeast ,1998,4,81896
Acadia,Northeast ,1998,5,148052
Acadia,Northeast ,1998,6,307208
Acadia,Northeast ,1998,7,565477
Acadia,Northeast ,1998,8,701097
Acadia,Northeast ,1998,9,391378
Acadia,Northeast ,1998,10,266138
Acadia,Northeast ,1998,11,55225
Acadia,Northeast ,1998,12,16772
Acadia,Northeast ,1999,1,16430
Acadia,Northeast ,1999,2,17162
Acadia,Northeast ,1999,3,33688
Acadia,Northeast ,1999,4,82993
Acadia,Northeast ,1999,5,174610
Acadia,Northeast ,1999,6,315980
Acadia,Northeast ,1999,7,562996
Acadia,Northeast ,1999,8,639073
Acadia,Northeast ,1999,9,426024
Acadia,Northeast ,1999,10,277644
Acadia,Northeast ,1999,11,39416
Acadia,Northeast ,1999,12,16211
Acadia,Northeast ,2000,1,22500
Acadia,Northeast ,2000,2,23848
Acadia,Northeast ,2000,3,35423
Acadia,Northeast ,2000,4,78555
Acadia,Northeast ,2000,5,166456
Acadia,Northeast ,2000,6,319208
Acadia,Northeast ,2000,7,547929
Acadia,Northeast ,2000,8,594904
Acadia,Northeast ,2000,9,378135
Acadia,Northeast ,2000,10,253626
Acadia,Northeast ,2000,11,33693
Acadia,Northeast ,2000,12,14961
Acadia,Northeast ,2001,1,18090
Acadia,Northeast ,2001,2,23926
Acadia,Northeast ,2001,3,35473
Acadia,Northeast ,2001,4,76007
Acadia,Northeast ,2001,5,157353
Acadia,Northeast ,2001,6,325242
Acadia,Northeast ,2001,7,558641
Acadia,Northeast ,2001,8,630240
Acadia,Northeast ,2001,9,377456
Acadia,Northeast ,2001,10,257280
Acadia,Northeast ,2001,11,41353
Acadia,Northeast ,2001,12,15490
Acadia,Northeast ,2002,1,15309
Acadia,Northeast ,2002,2,25071
Acadia,Northeast ,2002,3,34498
Acadia,Northeast ,2002,4,72528
Acadia,Northeast ,2002,5,163145
Acadia,Northeast ,2002,6,325441
Acadia,Northeast ,2002,7,571119
Acadia,Northeast ,2002,8,636824
Acadia,Northeast ,2002,9,392531
Acadia,Northeast ,2002,10,271312
Acadia,Northeast ,2002,11,36589
Acadia,Northeast ,2002,12,14205
Acadia,Northeast ,2003,1,22917
Acadia,Northeast ,2003,2,21993
Acadia,Northeast ,2003,3,34274
Acadia,Northeast ,2003,4,68444
Acadia,Northeast ,2003,5,135443
Acadia,Northeast ,2003,6,309230
Acadia,Northeast ,2003,7,547836
Acadia,Northeast ,2003,8,595191
Acadia,Northeast ,2003,9,376060
Acadia,Northeast ,2003,10,262412
Acadia,Northeast ,2003,11,44294
Acadia,Northeast ,2003,12,12968
Acadia,Northeast ,2004,1,11861
Acadia,Northeast ,2004,2,14266
Acadia,Northeast ,2004,3,20952
Acadia,Northeast ,2004,4,60180
Acadia,Northeast ,2004,5,134597
Acadia,Northeast ,2004,6,305134
Acadia,Northeast ,2004,7,471406
Acadia,Northeast ,2004,8,524675
Acadia,Northeast ,2004,9,357146
Acadia,Northeast ,2004,10,261284
Acadia,Northeast ,2004,11,34125
Acadia,Northeast ,2004,12,12221
Acadia,Northeast ,2005,1,10810
Acadia,Northeast ,2005,2,11831
Acadia,Northeast ,2005,3,18917
Acadia,Northeast ,2005,4,59773
Acadia,Northeast ,2005,5,110330
Acadia,Northeast ,2005,6,275175
Acadia,Northeast ,2005,7,468512
Acadia,Northeast ,2005,8,519350
Acadia,Northeast ,2005,9,321070
Acadia,Northeast ,2005,10,207599
Acadia,Northeast ,2005,11,37101
Acadia,Northeast ,2005,12,11016
Acadia,Northeast ,2006,1,13494
Acadia,Northeast ,2006,2,12924
Acadia,Northeast ,2006,3,21695
Acadia,Northeast ,2006,4,59034
Acadia,Northeast ,2006,5,120889
Acadia,Northeast ,2006,6,244333
Acadia,Northeast ,2006,7,476631
Acadia,Northeast ,2006,8,506833
Acadia,Northeast ,2006,9,330649
Acadia,Northeast ,2006,10,249850
Acadia,Northeast ,2006,11,33903
Acadia,Northeast ,2006,12,13353
Acadia,Northeast ,2007,1,12415
Acadia,Northeast ,2007,2,11068
Acadia,Northeast ,2007,3,19220
Acadia,Northeast ,2007,4,61775
Acadia,Northeast ,2007,5,132152
Acadia,Northeast ,2007,6,273765
Acadia,Northeast ,2007,7,461894
Acadia,Northeast ,2007,8,544892
Acadia,Northeast ,2007,9,371217
Acadia,Northeast ,2007,10,263311
Acadia,Northeast ,2007,11,41449
Acadia,Northeast ,2007,12,9070
Acadia,Northeast ,2008,1,10744
Acadia,Northeast ,2008,2,11131
Acadia,Northeast ,2008,3,17489
Acadia,Northeast ,2008,4,53798
Acadia,Northeast ,2008,5,125679
Acadia,Northeast ,2008,6,263542
Acadia,Northeast ,2008,7,470295
Acadia,Northeast ,2008,8,514443
Acadia,Northeast ,2008,9,319582
Acadia,Northeast ,2008,10,246533
Acadia,Northeast ,2008,11,32759
Acadia,Northeast ,2008,12,9862
Acadia,Northeast ,2009,1,9366
Acadia,Northeast ,2009,2,9751
Acadia,Northeast ,2009,3,19258
Acadia,Northeast ,2009,4,59277
Acadia,Northeast ,2009,5,129885
Acadia,Northeast ,2009,6,244780
Acadia,Northeast ,2009,7,457622
Acadia,Northeast ,2009,8,586446
Acadia,Northeast ,2009,9,399789
Acadia,Northeast ,2009,10,258007
Acadia,Northeast ,2009,11,44042
Acadia,Northeast ,2009,12,9475
Acadia,Northeast ,2010,1,10510
Acadia,Northeast ,2010,2,13398
Acadia,Northeast ,2010,3,26080
Acadia,Northeast ,2010,4,57992
Acadia,Northeast ,2010,5,169898
Acadia,Northeast ,2010,6,286635
Acadia,Northeast ,2010,7,545382
Acadia,Northeast ,2010,8,627918
Acadia,Northeast ,2010,9,431001
Acadia,Northeast ,2010,10,289114
Acadia,Northeast ,2010,11,36736
Acadia,Northeast ,2010,12,9544
Acadia,Northeast ,2011,1,10428
Acadia,Northeast ,2011,2,9533
Acadia,Northeast ,2011,3,19510
Acadia,Northeast ,2011,4,58307
Acadia,Northeast ,2011,5,132720
Acadia,Northeast ,2011,6,297222
Acadia,Northeast ,2011,7,559892
Acadia,Northeast ,2011,8,583153
Acadia,Northeast ,2011,9,387868
Acadia,Northeast ,2011,10,270477
Acadia,Northeast ,2011,11,34192
Acadia,Northeast ,2011,12,11343
Acadia,Northeast ,2012,1,11930
Acadia,Northeast ,2012,2,12388
Acadia,Northeast ,2012,3,22684
Acadia,Northeast ,2012,4,59471
Acadia,Northeast ,2012,5,157406
Acadia,Northeast ,2012,6,309198
Acadia,Northeast ,2012,7,539234
Acadia,Northeast ,2012,8,574307
Acadia,Northeast ,2012,9,391810
Acadia,Northeast ,2012,10,302932
Acadia,Northeast ,2012,11,38385
Acadia,Northeast ,2012,12,11307
Acadia,Northeast ,2013,1,11249
Acadia,Northeast ,2013,2,9869
Acadia,Northeast ,2013,3,20631
Acadia,Northeast ,2013,4,47090
Acadia,Northeast ,2013,5,133653
Acadia,Northeast ,2013,6,315791
Acadia,Northeast ,2013,7,555308
Acadia,Northeast ,2013,8,617306
Acadia,Northeast ,2013,9,400400
Acadia,Northeast ,2013,10,94904
Acadia,Northeast ,2013,11,41181
Acadia,Northeast ,2013,12,7540
Acadia,Northeast ,2014,1,10459
Acadia,Northeast ,2014,2,10258
Acadia,Northeast ,2014,3,17502
Acadia,Northeast ,2014,4,57211
Acadia,Northeast ,2014,5,153013
Acadia,Northeast ,2014,6,338845
Acadia,Northeast ,2014,7,561073
Acadia,Northeast ,2014,8,638152
Acadia,Northeast ,2014,9,418173
Acadia,Northeast ,2014,10,313920
Acadia,Northeast ,2014,11,31013
Acadia,Northeast ,2014,12,13510
Acadia,Northeast ,2015,1,12578
Acadia,Northeast ,2015,2,10626
Acadia,Northeast ,2015,3,18062
Acadia,Northeast ,2015,4,63214
Acadia,Northeast ,2015,5,187205
Acadia,Northeast ,2015,6,359661
Acadia,Northeast ,2015,7,606597
Acadia,Northeast ,2015,8,666767
Acadia,Northeast ,2015,9,479320
Acadia,Northeast ,2015,10,344362
Acadia,Northeast ,2015,11,48912
Acadia,Northeast ,2015,12,13880
Acadia,Northeast ,2016,1,17204
Acadia,Northeast ,2016,2,16530
Acadia,Northeast ,2016,3,28121
Acadia,Northeast ,2016,4,94199
Acadia,Northeast ,2016,5,217147
Acadia,Northeast ,2016,6,445410
Acadia,Northeast ,2016,7,696854
Acadia,Northeast ,2016,8,735945
Acadia,Northeast ,2016,9,570434
Acadia,Northeast ,2016,10,412416
Acadia,Northeast ,2016,11,55022
Acadia,Northeast ,2016,12,14111
Acadia,Northeast ,2017,1,15520
Acadia,Northeast ,2017,2,14342
Acadia,Northeast ,2017,3,20936
Acadia,Northeast ,2017,4,85267
Acadia,Northeast ,2017,5,222978
Acadia,Northeast ,2017,6,476191
Acadia,Northeast ,2017,7,743529
Acadia,Northeast ,2017,8,762436
Acadia,Northeast ,2017,9,595388
Acadia,Northeast ,2017,10,507594
Acadia,Northeast ,2017,11,53006
Acadia,Northeast ,2017,12,12084
Acadia,Northeast ,2018,1,11974
Acadia,Northeast ,2018,2,12167
Acadia,Northeast ,2018,3,23756
Acadia,Northeast ,2018,4,72858
Acadia,Northeast ,2018,5,249050
Acadia,Northeast ,2018,6,499163
Acadia,Northeast ,2018,7,759165
Acadia,Northeast ,2018,8,767219
Acadia,Northeast ,2018,9,600397
Acadia,Northeast ,2018,10,488204
Acadia,Northeast ,2018,11,40930
Acadia,Northeast ,2018,12,12692
Acadia,Northeast ,2019,1,8532
